,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,brand,model
623,Hyderabad,2009,90764,Diesel,Manual,First,14.0,2498.0,112.0,8.0,Mahindra,Xylo
624,Chennai,2009,137000,Diesel,Automatic,Second,13.2,1995.0,170.0,5.0,BMW,3
625,Pune,2013,127000,Petrol,Manual,Second,16.8,1497.0,116.3,5.0,Honda,City
626,Kochi,2016,51884,Diesel,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500
627,Delhi,2014,67407,Diesel,Manual,First,21.27,1396.0,88.76,5.0,Hyundai,i20
628,Hyderabad,2014,107825,Diesel,Manual,First,13.0,2982.0,168.5,7.0,Toyota,Fortuner
629,Chennai,2006,82453,Diesel,Manual,First,13.6,2523.0,63.0,8.0,Mahindra,Bolero
630,Chennai,2007,30441,Petrol,Manual,First,15.9,1298.0,85.0,5.0,Maruti,Esteem
631,Chennai,2002,70000,Petrol,Manual,Third,0.0,1086.0,113.98,5.0,Hyundai,Santro
632,Mumbai,2016,11000,Diesel,Automatic,First,20.7,1496.0,113.98,5.0,Mini,Cooper
633,Hyderabad,2015,61000,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,Audi,Q3
634,Delhi,2013,48454,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,Hyundai,i20
635,Jaipur,2017,37000,Diesel,Manual,First,14.1,2179.0,154.0,7.0,Tata,Safari
636,Kochi,2017,32249,Diesel,Manual,First,21.9,1498.0,98.6,7.0,Honda,BR-V
637,Kolkata,2013,58000,Diesel,Manual,First,19.33,1968.0,138.03,5.0,Volkswagen,Jetta
638,Jaipur,2017,28360,Petrol,Manual,First,19.1,1197.0,81.86,5.0,Hyundai,Xcent
639,Mumbai,2017,7000,Petrol,Manual,First,20.89,1197.0,81.8,5.0,Maruti,Ignis
640,Coimbatore,2016,19658,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,BMW,5
641,Hyderabad,2007,92000,Petrol,Manual,First,13.8,1299.0,70.0,5.0,Ford,Ikon
642,Kolkata,2013,25000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
643,Coimbatore,2016,37882,Diesel,Manual,First,22.32,1582.0,126.3,5.0,Hyundai,Verna
644,Bangalore,2014,69330,Diesel,Automatic,First,16.07,1995.0,181.0,5.0,BMW,3
645,Delhi,2011,61000,Petrol,Automatic,First,12.3,1796.0,185.0,5.0,Mercedes-Benz,E-Class
646,Kolkata,2010,35000,Petrol,Manual,Second,18.6,1199.0,79.4,5.0,Chevrolet,Beat
647,Jaipur,2004,200000,Petrol,Manual,First,0.0,1086.0,140.0,5.0,Hyundai,Santro
648,Jaipur,2009,82000,Diesel,Manual,Second,13.5,1405.0,140.0,5.0,Tata,Indica
649,Delhi,2012,72450,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
650,Jaipur,2017,36381,Diesel,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz
651,Coimbatore,2017,25559,Diesel,Automatic,First,19.71,2143.0,201.15,5.0,Mercedes-Benz,New
652,Chennai,2005,100000,Petrol,Automatic,Third,16.4,1497.0,78.0,5.0,Honda,City
653,Jaipur,2015,94000,Diesel,Automatic,First,11.5,2982.0,169.0,7.0,Toyota,Fortuner
654,Bangalore,2011,64357,Petrol,Manual,First,24.07,998.0,67.1,5.0,Maruti,Alto
655,Mumbai,2017,10501,Petrol,Automatic,First,9.43,1999.0,237.4,5.0,Jaguar,XJ
656,Chennai,2009,47000,Diesel,Manual,First,21.9,1396.0,90.0,5.0,Hyundai,i20
657,Mumbai,2017,18000,Petrol,Automatic,First,16.0,1497.0,117.3,7.0,Honda,BRV
658,Chennai,2007,89000,Petrol,Manual,First,13.4,1794.0,125.0,5.0,Toyota,Corolla
659,Coimbatore,2014,49964,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6
660,Mumbai,2014,35000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,Toyota,Innova
661,Jaipur,2014,64000,Diesel,Manual,First,24.0,1120.0,70.0,5.0,Hyundai,Grand
662,Mumbai,2013,36000,Petrol,Automatic,First,14.8,1598.0,105.0,5.0,Volkswagen,Vento
663,Delhi,2012,78600,Diesel,Manual,First,12.8,2494.0,102.0,7.0,Toyota,Innova
664,Jaipur,2008,170000,Diesel,Manual,Second,16.8,1493.0,110.0,5.0,Hyundai,Verna
665,Pune,2015,65000,Diesel,Manual,Second,23.2,1248.0,73.94,5.0,Maruti,Ritz
666,Pune,2008,120300,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,Audi,Q7
667,Pune,2016,21000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
668,Coimbatore,2017,18108,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
669,Pune,2014,58407,Petrol,Manual,First,17.4,1497.0,117.3,5.0,Honda,City
670,Pune,2014,49500,Petrol,Manual,First,20.73,1373.0,91.1,5.0,Maruti,Ciaz
671,Kochi,2013,37199,Petrol,Automatic,First,17.5,1498.0,99.6,5.0,Nissan,Sunny
672,Hyderabad,2012,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
673,Hyderabad,2015,59000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,Maruti,Ertiga
674,Jaipur,2015,60000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,Maruti,Swift
675,Bangalore,2007,39037,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,Mercedes-Benz,New
676,Mumbai,2013,17003,Petrol,Manual,First,19.4,1198.0,86.8,5.0,Honda,Brio
677,Hyderabad,2008,80400,Petrol,Manual,First,16.0,1086.0,66.7,5.0,Hyundai,i10
678,Jaipur,2012,75200,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
679,Kochi,2017,41217,Diesel,Manual,First,28.09,1248.0,88.5,5.0,Maruti,Ciaz
680,Pune,2006,98293,Petrol,Manual,Second,13.8,1299.0,70.0,5.0,Ford,Ikon
681,Pune,2017,54000,Petrol,Manual,Second,16.2,1199.0,74.0,5.0,Volkswagen,Polo
682,Chennai,2016,17377,Petrol,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz
683,Bangalore,2013,33800,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,Honda,Amaze
684,Hyderabad,2015,86157,Diesel,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20
685,Hyderabad,2012,146824,Diesel,Manual,First,21.1,1248.0,73.9,5.0,Maruti,Ritz
686,Chennai,2014,55000,Petrol,Manual,First,16.8,1497.0,116.3,5.0,Honda,City
687,Hyderabad,2010,53293,Petrol,Manual,First,13.14,1798.0,160.0,5.0,Skoda,Superb
688,Pune,2017,38000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,Maruti,Vitara
689,Bangalore,2009,64000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,Hyundai,i20
690,Hyderabad,2017,25058,Petrol,Automatic,First,24.07,998.0,67.1,5.0,Maruti,Alto
691,Kochi,2016,36700,Petrol,Manual,First,21.1,814.0,55.2,5.0,Hyundai,EON
692,Mumbai,2011,35000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
693,Coimbatore,2016,22732,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,Mercedes-Benz,SLK-Class
694,Hyderabad,2014,48000,Diesel,Automatic,First,18.53,1968.0,187.74,5.0,Audi,A6
695,Bangalore,2013,62084,Diesel,Manual,First,22.77,1498.0,98.59,5.0,Ford,EcoSport
696,Kolkata,2012,39273,Diesel,Automatic,First,14.3,1968.0,140.0,5.0,Volkswagen,Passat
697,Bangalore,2017,64798,Diesel,Manual,First,13.68,2393.0,147.8,7.0,Toyota,Innova
698,Jaipur,2010,100002,Diesel,Manual,Third,20.0,1399.0,68.0,5.0,Ford,Figo
699,Pune,2006,78000,Petrol,Manual,Third,14.49,1399.0,92.7,5.0,Chevrolet,Aveo
700,Coimbatore,2013,57717,Petrol,Manual,First,18.5,1197.0,85.8,5.0,Maruti,Ritz
701,Chennai,2011,109000,Diesel,Automatic,First,12.39,2179.0,147.51,5.0,Land,Rover
702,Coimbatore,2017,74515,Petrol,Manual,First,18.9,1197.0,82.0,5.0,Hyundai,Grand
703,Coimbatore,2017,50484,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,Ford,Endeavour
704,Kochi,2013,13452,Diesel,Automatic,First,12.8,1968.0,167.6,5.0,Audi,Q5
705,Kochi,2017,37688,Petrol,Manual,First,17.01,1591.0,121.3,5.0,Hyundai,Verna
706,Chennai,2017,34000,Diesel,Automatic,First,13.0,2143.0,204.0,5.0,Mercedes-Benz,E-Class
707,Pune,2014,120000,Diesel,Automatic,First,0.0,2987.0,165.0,5.0,Mercedes-Benz,M-Class
708,Pune,2008,64000,Petrol,Manual,Second,17.5,1298.0,85.8,5.0,Maruti,Swift
709,Delhi,2011,100000,Petrol,Manual,First,13.0,1343.0,90.0,5.0,Honda,City
710,Jaipur,2014,75000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,Renault,Duster
711,Hyderabad,2012,86000,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,Mercedes-Benz,New
712,Hyderabad,2015,69000,Diesel,Automatic,First,15.97,2993.0,258.0,5.0,BMW,X5
713,Kochi,2015,41721,Petrol,Manual,First,19.1,1197.0,82.0,5.0,Hyundai,Xcent
714,Hyderabad,2017,13000,Petrol,Automatic,First,22.0,1197.0,81.8,5.0,Maruti,Dzire
715,Kolkata,2013,38998,Diesel,Automatic,First,16.07,1995.0,181.0,4.0,BMW,3
716,Kochi,2017,54250,Petrol,Manual,First,22.74,796.0,47.3,5.0,Maruti,Alto
717,Bangalore,2013,45979,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,Audi,A4
718,Pune,2012,37000,Petrol,Automatic,Second,13.6,1598.0,181.0,4.0,Mini,Cooper
719,Coimbatore,2015,46983,Diesel,Automatic,Second,12.07,2967.0,241.4,7.0,Audi,Q7
720,Bangalore,2012,40700,Diesel,Manual,First,25.44,936.0,57.6,5.0,Chevrolet,Beat
721,Kochi,2015,43828,Petrol,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon
722,Kolkata,2016,53000,Diesel,Manual,First,19.01,1461.0,108.5,5.0,Nissan,Terrano
723,Ahmedabad,2015,100000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,BMW,3
724,Mumbai,2015,19000,Petrol,Manual,First,20.85,1197.0,83.14,5.0,Maruti,Swift
725,Jaipur,2016,84000,Diesel,Manual,First,17.72,1968.0,108.5,5.0,Skoda,Yeti
726,Kochi,2018,37630,Petrol,Automatic,First,15.63,1499.0,110.4,5.0,Ford,EcoSport
727,Chennai,2010,67714,Petrol,Manual,First,18.5,1197.0,80.0,5.0,Hyundai,i20
728,Pune,2017,32000,Diesel,Manual,First,15.0,1248.0,88.5,5.0,Maruti,S
729,Pune,2010,51000,Petrol,Manual,First,16.2,1599.0,103.2,5.0,Hyundai,Verna
730,Kochi,2015,58390,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,BMW,3
731,Kolkata,2017,14000,Diesel,Manual,First,24.0,1186.0,73.97,5.0,Hyundai,Grand
732,Delhi,2014,55818,Petrol,Manual,Second,17.4,1497.0,117.3,5.0,Honda,City
733,Chennai,2006,97800,Petrol,Manual,Third,16.1,1616.5734702372692,74.0,5.0,Maruti,Swift
734,Kolkata,2012,52241,Diesel,Manual,First,25.2,1248.0,74.0,5.0,Maruti,Swift
735,Coimbatore,2018,25433,Diesel,Manual,First,27.39,1248.0,74.0,5.0,Maruti,Baleno
736,Kochi,2015,40611,Diesel,Manual,First,14.0,2179.0,138.1,7.0,Tata,Safari
737,Bangalore,2008,72000,Petrol,Manual,Second,13.2,1495.0,94.0,5.0,Hyundai,Accent
738,Hyderabad,2016,54631,Diesel,Manual,First,25.2,1248.0,74.0,5.0,Maruti,Swift
739,Bangalore,2007,60000,Diesel,Manual,Second,17.8,1248.0,37.48,5.0,Maruti,Swift
740,Coimbatore,2016,24941,Petrol,Automatic,First,21.9,624.0,37.48,4.0,Tata,Nano
741,Ahmedabad,2017,63939,Diesel,Manual,First,25.47,1248.0,88.5,7.0,Maruti,Ertiga
742,Delhi,2014,35214,Petrol,Automatic,Second,23.1,998.0,67.04,5.0,Maruti,Celerio
743,Delhi,2015,63000,Diesel,Manual,First,25.2,1248.0,74.0,5.0,Maruti,Swift
744,Kochi,2012,121377,Petrol,Manual,First,15.04,1598.0,103.6,5.0,Volkswagen,Vento
745,Chennai,2009,100970,Diesel,Automatic,First,15.5,1896.0,105.0,5.0,Volkswagen,Jetta
746,Hyderabad,2014,60000,Diesel,Automatic,Second,20.7,1496.0,113.98,5.0,Mini,Cooper
747,Chennai,2008,77650,Diesel,Manual,First,17.2,1396.0,53.5,5.0,Tata,Indica
748,Hyderabad,2007,71297,Petrol,Manual,First,17.0,1086.0,117.3,5.0,Hyundai,Santro
749,Mumbai,2008,55001,Diesel,Automatic,Second,0.0,1616.5734702372692,117.3,5.0,Land,Rover
750,Bangalore,2015,18955,Petrol,Automatic,First,18.0,1497.0,117.3,5.0,Honda,City
751,Coimbatore,2016,47877,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,Jaguar,XF
752,Kochi,2017,43368,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,Mercedes-Benz,E-Class
753,Chennai,2011,73000,Diesel,Manual,Third,18.3,1991.0,147.9,5.0,Chevrolet,Cruze
754,Ahmedabad,2015,72007,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
755,Kochi,2014,56778,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,Mercedes-Benz,New
756,Kochi,2018,20024,Petrol,Manual,First,18.2,1199.0,88.7,5.0,Honda,Jazz
757,Kolkata,2013,42103,Petrol,Manual,First,16.78,1496.0,88.73,5.0,Toyota,Etios
758,Hyderabad,2012,67147,Petrol,Manual,First,19.7,796.0,46.3,5.0,Maruti,Alto
759,Coimbatore,2016,37806,Petrol,Manual,First,20.4,1197.0,81.8,5.0,Maruti,Swift
760,Pune,2009,85000,Petrol,Manual,Third,19.0,998.0,66.1,5.0,Maruti,A-Star
761,Chennai,2011,35000,Petrol,Manual,First,25.4,624.0,37.48,4.0,Tata,Nano
762,Kolkata,2015,72035,Diesel,Manual,First,25.5,1498.0,99.0,5.0,Ford,Figo
763,Jaipur,2011,48500,Petrol,Manual,First,16.0,1368.0,90.0,5.0,Fiat,Linea
764,Coimbatore,2017,28854,Petrol,Manual,First,18.16,1196.0,86.8,5.0,Ford,Figo
765,Hyderabad,2005,92450,Petrol,Manual,First,15.4,1590.0,94.0,5.0,Maruti,Baleno
766,Coimbatore,2016,14351,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,BMW,3
767,Jaipur,2017,51087,Diesel,Manual,First,17.9,1998.0,163.7,5.0,Chevrolet,Cruze
768,Chennai,2005,50000,Diesel,Manual,First,12.7,2609.0,116.6,8.0,Mahindra,Scorpio
769,Hyderabad,2016,73000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,Tata,Indica
770,Ahmedabad,2011,60000,Diesel,Automatic,First,18.1,1991.0,147.9,4.0,Chevrolet,Cruze
771,Chennai,2016,50000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,Toyota,Innova
772,Coimbatore,2018,36797,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,Mercedes-Benz,New
773,Kolkata,2011,50000,Petrol,Manual,Second,18.5,1197.0,85.8,5.0,Maruti,Ritz
774,Ahmedabad,2013,94000,Diesel,Manual,First,12.8,2494.0,102.0,8.0,Toyota,Innova
775,Bangalore,2013,74000,Diesel,Manual,Second,12.55,2982.0,168.5,7.0,Toyota,Fortuner
776,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95,1197.0,78.9,5.0,Hyundai,i10
777,Bangalore,2012,67000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
778,Bangalore,2015,76927,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,Audi,Q3
779,Kolkata,2010,17088,Petrol,Manual,First,18.6,1199.0,79.4,5.0,Chevrolet,Beat
780,Pune,2007,112808,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,Ford,Fiesta
781,Coimbatore,2014,74980,Diesel,Manual,First,20.0,1399.0,68.0,5.0,Ford,Figo
782,Hyderabad,2014,44600,Petrol,Automatic,First,23.1,998.0,67.04,5.0,Maruti,Celerio
783,Mumbai,2013,37000,Diesel,Automatic,First,20.0,2143.0,107.3,5.0,Mercedes-Benz,A
784,Ahmedabad,2016,21000,Petrol,Manual,First,15.8,1591.0,121.3,5.0,Hyundai,Creta
785,Bangalore,2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon
786,Delhi,2013,70000,Diesel,Automatic,First,10.0,2148.0,170.0,5.0,Mercedes-Benz,E-Class
787,Mumbai,2017,4018,Petrol,Manual,First,18.88,1499.0,110.4,5.0,Ford,EcoSport
788,Delhi,2013,70000,Diesel,Automatic,Second,13.73,1995.0,148.0,5.0,Renault,Koleos
789,Coimbatore,2016,56532,Diesel,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500
790,Hyderabad,2013,26875,Petrol,Manual,First,16.8,796.0,34.2,8.0,Maruti,Omni
791,Coimbatore,2015,72599,Petrol,Manual,First,22.5,998.0,67.04,5.0,Maruti,Wagon
792,Jaipur,2008,205000,Diesel,Manual,Second,13.1,2499.0,141.0,7.0,Ford,Endeavour
793,Hyderabad,2011,98000,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,Hyundai,Verna
794,Mumbai,2018,19500,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
795,Bangalore,2013,68000,Petrol,Manual,Second,16.02,1373.0,93.7,7.0,Maruti,Ertiga
796,Coimbatore,2019,19654,Diesel,Automatic,First,14.0,2179.0,155.0,7.0,Mahindra,XUV500
797,Mumbai,2017,26000,Diesel,Manual,First,23.65,1248.0,88.5,5.0,Maruti,SX4
798,Bangalore,2015,10000,Petrol,Automatic,First,18.1,3498.0,306.0,2.0,Mercedes-Benz,SLK-Class
799,Hyderabad,2011,75020,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
800,Hyderabad,2011,157000,Diesel,Manual,First,12.55,2982.0,168.5,7.0,Toyota,Fortuner
801,Kochi,2017,43773,Diesel,Manual,First,16.0,2179.0,140.0,7.0,Mahindra,XUV500
802,Mumbai,2016,21000,Diesel,Automatic,First,17.9,2143.0,201.15,5.0,Mercedes-Benz,GLE
803,Chennai,2016,23280,Petrol,Manual,First,18.7,1199.0,88.7,5.0,Honda,Jazz
804,Pune,2013,88000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,Maruti,Swift
805,Hyderabad,2014,67000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,Hyundai,Verna
806,Coimbatore,2017,59636,Diesel,Automatic,First,10.91,3198.0,197.0,7.0,Ford,Endeavour
807,Kolkata,2018,11000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
808,Mumbai,2013,60669,Petrol,Manual,First,16.8,1497.0,116.3,5.0,Honda,City
809,Hyderabad,2018,12000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,Honda,Amaze
810,Kolkata,2013,35000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,Hyundai,Verna
811,Chennai,2015,65000,Diesel,Manual,First,24.2,1498.0,98.6,7.0,Honda,Mobilio
812,Kochi,2013,39929,Diesel,Manual,First,20.77,1248.0,88.8,7.0,Maruti,Ertiga
813,Pune,2014,49000,Petrol,Manual,First,24.07,998.0,67.1,5.0,Maruti,Alto
814,Pune,2004,77757,Diesel,Manual,Second,13.1,2446.0,75.0,10.0,Toyota,Qualis
815,Kochi,2016,21456,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
816,Bangalore,2009,74000,Diesel,Automatic,Second,17.0,1896.0,105.0,5.0,Skoda,Laura
817,Mumbai,2015,37000,Petrol,Manual,Second,18.6,1197.0,81.83,5.0,Hyundai,i20
818,Coimbatore,2013,108640,Diesel,Automatic,First,11.5,2993.0,235.0,5.0,BMW,5
819,Mumbai,2016,38000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,BMW,3
820,Pune,2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,Chevrolet,Aveo
821,Mumbai,2011,47000,Diesel,Automatic,Second,14.21,2143.0,203.0,5.0,Mercedes-Benz,E-Class
822,Kolkata,2013,31000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,Audi,A6
823,Kolkata,2014,40000,Petrol,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon
824,Jaipur,2016,4152,Petrol,Manual,First,25.17,799.0,53.3,5.0,Renault,KWID
825,Mumbai,2017,51000,Diesel,Manual,First,21.66,1498.0,108.62,5.0,Volkswagen,Ameo
826,Ahmedabad,2013,55000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,Volkswagen,Polo
827,Hyderabad,2014,58500,Petrol,Manual,First,22.74,796.0,47.3,5.0,Maruti,Alto
828,Kochi,2017,58620,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
829,Mumbai,2012,29605,Petrol,Manual,First,18.3,1197.0,80.0,5.0,Toyota,Etios
830,Jaipur,2012,71172,Petrol,Manual,Third,17.0,1197.0,80.0,5.0,Hyundai,i20
831,Chennai,2017,12000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,Hyundai,i20
832,Kolkata,2014,25000,Petrol,Manual,First,20.51,998.0,67.04,5.0,Maruti,Wagon
833,Bangalore,2017,43000,Diesel,Manual,Second,22.54,1396.0,88.73,5.0,Hyundai,i20
834,Mumbai,2015,57022,Petrol,Automatic,First,17.21,1197.0,103.6,5.0,Volkswagen,Polo
835,Pune,2015,92000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,Ford,Figo
836,Coimbatore,2014,33372,Petrol,Manual,Second,18.6,1197.0,85.8,5.0,Maruti,Swift
837,Kochi,2016,52625,Diesel,Manual,First,24.0,1120.0,70.0,5.0,Hyundai,Grand
838,Chennai,2016,215000,Diesel,Manual,First,14.02,2179.0,118.3,7.0,Mahindra,Xylo
840,Coimbatore,2014,60138,Petrol,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10
841,Mumbai,2014,84000,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,Skoda,Octavia
842,Mumbai,2014,47000,Diesel,Automatic,First,15.97,2993.0,258.0,7.0,BMW,X5
843,Hyderabad,2014,33450,Petrol,Automatic,First,23.1,998.0,67.04,5.0,Maruti,Celerio
844,Jaipur,2013,125000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,Volkswagen,Vento
845,Pune,2011,99606,Diesel,Automatic,Second,16.07,1995.0,181.0,5.0,BMW,3
846,Mumbai,2014,64000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,Maruti,Ertiga
847,Hyderabad,2013,51000,Diesel,Manual,First,20.0,1399.0,68.05,5.0,Ford,Figo
848,Mumbai,2014,57000,Petrol,Manual,First,16.47,1198.0,74.0,5.0,Volkswagen,Polo
849,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,Audi,A6
850,Pune,2017,43200,Diesel,Manual,First,13.68,2393.0,147.8,7.0,Toyota,Innova
851,Delhi,2013,66000,Diesel,Automatic,First,22.32,1582.0,126.3,5.0,Hyundai,Verna
852,Kolkata,2013,31000,Petrol,Manual,First,17.92,1086.0,62.1,5.0,Hyundai,Santro
853,Delhi,2011,46000,Diesel,Automatic,Second,16.55,1968.0,147.51,5.0,Audi,A4
854,Kolkata,2012,47346,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,Audi,A4
855,Jaipur,2009,100000,Diesel,Manual,First,17.0,1896.0,105.0,5.0,Skoda,Laura
856,Coimbatore,2015,63856,Petrol,Automatic,First,13.7,1997.0,153.86,5.0,Honda,CR-V
857,Coimbatore,2015,72996,Diesel,Manual,First,22.32,1582.0,126.32,5.0,Hyundai,Verna
858,Chennai,2014,23000,Diesel,Manual,First,24.5,1498.0,98.6,7.0,Honda,Mobilio
859,Coimbatore,2018,15985,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
860,Kolkata,2011,98000,Diesel,Manual,Second,12.8,2494.0,102.0,8.0,Toyota,Innova
861,Hyderabad,2014,70089,Petrol,Manual,First,18.6,1197.0,81.83,5.0,Hyundai,i20
862,Chennai,2011,99000,Diesel,Manual,Second,13.6,2523.0,63.0,7.0,Mahindra,Bolero
863,Jaipur,2014,72000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,Volkswagen,Vento
864,Coimbatore,2015,44194,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,Jaguar,XF
865,Mumbai,2005,102000,Petrol,Manual,First,17.3,993.0,60.0,5.0,Maruti,Zen
866,Coimbatore,2018,56652,Diesel,Automatic,First,13.0,2987.0,258.0,5.0,Mercedes-Benz,E-Class
867,Mumbai,2010,41650,Diesel,Manual,Second,11.5,2982.0,171.0,7.0,Toyota,Fortuner
868,Coimbatore,2015,61717,Petrol,Automatic,First,18.9,1197.0,82.0,5.0,Hyundai,Grand
869,Jaipur,2018,25302,Diesel,Manual,First,25.4,1186.0,73.97,5.0,Hyundai,Xcent
870,Coimbatore,2016,47016,Petrol,Manual,First,15.29,1591.0,121.3,5.0,Hyundai,Creta
871,Bangalore,2010,69000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,Hyundai,i10
872,Delhi,2016,32700,Petrol,Manual,First,19.4,1198.0,86.8,5.0,Honda,Brio
873,Coimbatore,2015,101337,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,Toyota,Fortuner
874,Ahmedabad,2011,59000,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,Audi,A4
875,Kochi,2018,41736,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,Toyota,Innova
876,Jaipur,2014,71649,Diesel,Manual,First,25.1,1498.0,98.6,5.0,Honda,City
877,Kochi,2015,80606,Diesel,Manual,First,25.1,1498.0,98.6,5.0,Honda,City
878,Jaipur,2017,63262,Petrol,Manual,First,21.7,999.0,67.0,5.0,Renault,KWID
879,Hyderabad,2018,5456,Diesel,Manual,First,28.4,1248.0,74.0,5.0,Maruti,Swift
880,Pune,2017,7500,Petrol,Automatic,First,23.1,998.0,67.04,5.0,Maruti,Celerio
881,Delhi,2011,66000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,Mahindra,XUV500
882,Jaipur,2010,66770,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,Hyundai,i10
883,Kochi,2014,58472,Petrol,Manual,First,19.81,1086.0,68.05,5.0,Hyundai,i10
884,Kolkata,2011,46687,Petrol,Manual,First,22.0,1197.0,81.8,5.0,Maruti,Dzire
885,Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7,1995.0,163.5,5.0,Maruti,Grand
886,Kolkata,2012,7000,Petrol,Automatic,First,14.33,1984.0,226.6,4.0,Audi,TT
887,Mumbai,2011,48000,Petrol,Automatic,Second,14.74,1991.0,184.0,5.0,Mercedes-Benz,New
888,Mumbai,2013,47000,Diesel,Manual,First,21.64,1461.0,84.8,5.0,Nissan,Sunny
889,Ahmedabad,2015,51530,Petrol,Manual,First,18.9,998.0,67.1,5.0,Maruti,Wagon
890,Bangalore,2014,25789,Diesel,Manual,Second,23.4,1248.0,74.0,5.0,Maruti,Swift
891,Delhi,2015,48000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,Honda,Amaze
